回答ID, 企画ID, 団体名, 主体としているキャンパス, 団体の区分, 活動内容, 活動日, 活動場所, 部員数, 部費, ひとこと, キャッチコピー, 年間日程
1070, 2070, 空手道同好会「拳心会」, 野田, 運動系, 伝統派空手の稽古。基本、形、組手練習。体力錬成。昇級・昇段審査挑戦サポート。, 週2回 (火曜・土曜), 森戸記念体育館 武道場, 22名（男子18名、女子4名）, 4000円/年, 武道に興味がある方、心身を鍛えたい方、初心者・経験者問わず歓迎。礼節を重んじ、集中力を養います。自分のペースで稽古できます。, 一撃必殺！己に克つ！, 4月:新歓体験稽古＆説明会 5月:基本動作反復練習 6月:形 講習会①(平安など) 7月:前期組手練習試合 8月:夏合宿(集中稽古) 10月:形 講習会②(指定形) 11月:理大祭(演武披露) 12月:昇級審査会(部内) 2月:寒稽古 3月:OB/OG合同稽古会
1071, 2071, 合気道クラブ「氣流会」, 野田, 運動系, 合気道の稽古。体捌き、受け身、呼吸法、基本技の反復練習。護身術としての応用。, 週2回 (月曜・木曜), 森戸記念体育館 柔道場, 18名（男子12名、女子6名）, 6000円/年, 力に頼らない武道、合気道を始めてみませんか？初心者大歓迎。女性や体力に自信がない方でも無理なく始められます。護身術にも役立ちます。, 和合の心、流れる動き。, 4月:新歓体験稽古＆受け身練習 5月:体捌き集中練習 6月:基本技講習(四方投げ等) 7月:前期合同稽古会 8月:夏合宿(外部指導者招聘) 10月:呼吸法・呼吸力養成稽古 11月:理大祭(演武発表) 12月:年末合同稽古＆納会 2月:応用技練習 3月:昇級審査(希望者)
1072, 2072, SF研究会「Cosmic Front」, 野田, 文化系, SF小説・映画・アニメ等の鑑賞・読書会、作品分析、SFに関する考察・議論、創作活動(有志)。, 月2回 定例会(金曜夜) + 不定期鑑賞会, 講義棟、オンライン, 20名（男子15名、女子5名）, 500円/年, SF好き集まれ！星新一からハードSF、スペースオペラまで。古典も最新作も。あなたの「推しSF」を語り合いませんか？未来への想像力を刺激しよう！, 想像力の彼方へ、旅立とう。, 4月:新歓・好きなSF作品紹介会 5月:テーマ別読書会①(例:時間SF) 6月:SF映画鑑賞会＆考察会 7月:前期お気に入り作品プレゼン 8月:SF創作ワークショップ(希望者) 10月:テーマ別読書会②(例:AI/ロボットSF) 11月:理大祭(SF作品展示、考察発表) 12月:年末SF座談会 2月:SF史勉強会 3月:自主制作作品発表会(有志)
1073, 2073, 文芸サークル「言の葉」, 野田, 文化系, 小説、詩、エッセイなどの創作活動。作品合評会、読書会、文学散歩。, 週1回 活動日(水曜放課後), 部室棟 E110, 24名（男子10名、女子14名）, 1000円/年 (部誌印刷代など), 書くことが好き、読むことが好き、言葉が好きな人、歓迎。小説家志望から趣味で楽しみたい人まで。自分のペースで創作し、仲間と感想を語り合えます。, 紡ぐ言葉、広がる世界。, 4月:新歓・作品持ち寄り＆自己紹介 5月:短編小説創作ワークショップ 6月:テーマ別読書会 7月:前期作品合評会、部誌発行① 8月:文学散歩(都内文豪ゆかりの地) 10月:詩作講座 11月:理大祭(部誌展示・販売) 12月:後期作品合評会、部誌発行② 2月:長編作品構想会 3月:卒業記念作品集制作
1074, 2074, まちづくり研究会「Community Canvas」, 野田, 文化系, 野田・流山地域の魅力発見、課題解決のための調査・企画・実践。地域イベントへの参加・協力、政策提言(目標)。, 月2回 ミーティング + フィールドワーク随時, 講義棟、大学周辺地域、オンライン, 18名（男子10名、女子8名）, 500円/年, 自分の住む街をもっと良くしたい！地域活性化に興味がある人、歓迎。フィールドワークを通して地域のリアルを知り、アイデアを形にしませんか？, 私たちの手で、街を彩る。, 4月:新歓・地域紹介＆活動説明会 5月:野田・流山地域フィールドワーク① 6月:地域課題に関するディスカッション 7月:地域イベント参加・ボランティア 8月:夏休み集中調査・企画立案 9月:中間報告会 10月:地域イベント参加・ブース出展 11月:理大祭(活動報告展示) 12月:企画ブラッシュアップ会議 2月:地域の方へのヒアリング調査 3月:年度末活動報告会＆提言まとめ
1075, 2075, ドローン研究・飛行クラブ「Sky High」, 野田, 文化系, ドローンの操縦練習、空撮、プログラミング制御研究、レース用ドローン製作(有志)。安全講習会必須。, 月2回 飛行練習会(土曜) + 週1回 ミーティング/勉強会, 大学グラウンド(許可時)、安全な飛行可能エリア、講義棟, 16名（男子14名、女子2名）, 5000円/年 (機材維持費、保険料), ドローンに興味がある人、飛ばしてみたい人、空撮したい人！初心者歓迎。安全運用を第一に、操縦技術や関連知識を学びます。未来の技術に触れてみよう！, 空からの視点で、世界を広げる。, 4月:新歓・ドローンデモフライト＆操縦体験 5月:ドローン法規・安全講習会 6月:基本操縦練習会 7月:空撮テクニック講座 8月:夏休み集中飛行訓練＆映像編集 9月:ドローンプログラミング入門 10月:マイクロドローンレース体験 11月:理大祭(デモフライト、空撮映像展示) 12月:夜間飛行練習(許可と安全確保の上) 2月:自作ドローン発表会(有志) 3月:空撮作品コンテスト
1076, 2076, 健康・フィットネスクラブ「Wellness Hub」, 野田, 運動系, ヨガ、ピラティス、ストレッチ、軽めの筋トレなど。外部インストラクターを招いたレッスンも企画。栄養勉強会。, 週1-2回 活動日 (平日昼休み or 放課後), トレーニング棟、講義棟, 35名（男子10名、女子25名）, 参加毎500円程度 or 月会費制検討中, 健康的な生活を送りたい人、運動不足を解消したいけど激しいのは苦手な人向け。男女問わず歓迎。心と体のバランスを整え、リフレッシュしませんか？, 健やかな毎日を、ここから。, 4月:新歓・体験ヨガ＆ストレッチ 5月:体幹トレーニング入門 6月:ピラティスレッスン 7月:夏に向けたボディメイク講座 8月:オンライン健康セミナー 9月:食生活改善・栄養勉強会 10月:秋のリラックスヨガ 11月:理大祭(健康相談・体験ブース) 12月:年末デトックスストレッチ 2月:筋力アップトレーニング 3月:セルフケア・マッサージ講座
1077, 2077, イラスト・マンガ制作サークル「Ink Pot」, 野田, 文化系, デジタル・アナログでのイラスト、マンガ制作。部誌発行、オンラインでの作品公開、画力向上勉強会。, 週1回 もくもく会/交流会(木曜放課後), 講義棟 K408、オンライン, 40名（男子20名、女子20名）, 2000円/年 (部誌印刷代、画材共有費), 絵を描くのが好き！マンガが好き！な人、集まれ！初心者も経験者も歓迎。デジタルもアナログもOK。仲間と刺激し合いながら、創作活動を楽しもう！, 描く喜び、語る楽しみ。, 4月:新歓・お絵描き交流会 5月:人体ドローイング練習会 6月:デジタル作画ソフト講座(クリスタ等) 7月:前期部誌発行＆合評会 8月:夏休み集中創作期間 9月:マンガネーム勉強会 10月:背景・パース講座 11月:理大祭(作品展示、部誌販売、似顔絵コーナー) 12月:テーマ別イラスト大会 2月:オンラインギャラリー更新 3月:後期部誌発行＆卒業制作展
1078, 2078, K-POPカバーダンスサークル「STEP UP」, 野田, 音楽系, K-POPアーティストのダンスカバー。完コピ目指して練習。学園祭や外部イベントでのステージ発表。, 週2回 (月曜・土曜), トレーニング棟、外部レンタルスタジオ, 45名（女子35名、男子10名）, 12000円/年 + 衣装代・スタジオ代別途, K-POPが好き！ダンスが好き！な人、大募集！男女問わず、初心者でも経験者でもOK！好きなグループになりきって、カッコよく＆可愛く踊ろう！, 憧れのステージへ、最高の一歩を！, 4月:新歓パフォーマンス＆ダンス体験 5月:練習曲決定＆パート分け 7月:学内発表会 8月:夏合宿(集中練習＆MV風撮影) 10月:外部ダンスイベント出演(目標) 11月:理大祭ステージ 12月:年末K-POPランダムダンス大会 2月:新曲練習開始 3月:卒業記念公演
1079, 2079, ボウリング同好会「Strike Masters」, 野田, 運動系, 月1-2回、近隣のボウリング場での練習会・交流会。スコアアップを目指す練習、レクリエーションボウリング。, 月1-2回 (週末 or 平日夜), ラウンドワン柏店 など近隣ボウリング場, 30名（男子20名、女子10名）, ゲーム代実費 + 年会費500円, ボウリング好き、集まれ！マイボール・マイシューズなくてもOK。初心者歓迎。スペアの取り方、カーブの投げ方教えます！皆で楽しくストライク！, 狙えパーフェクト！目指せハイスコア！, 4月:新歓ボウリング大会 5月:初心者向けフォームレッスン 6月:アベレージUP練習会 7月:前期チーム対抗戦 8月:夏休みボウリングマラソン(？) 10月:トリックショット練習会(遊び) 11月:理大祭(紹介ブース) 12月:忘年ボウリング大会 2月:プロチャレンジ観戦(有志) 3月:年間アベレージ表彰式
1080, 2080, 献血推進ボランティア「Red Ties」, ３キャンパス合同, 文化系, 学内献血会場での呼びかけ、受付補助、啓発活動。献血に関する勉強会、SNSでの情報発信。, 献血実施期間に集中活動 + 月1ミーティング, 各キャンパス献血会場、講義棟、オンライン, 25名（男子10名、女子15名）, 0円, 献血に関心がある人、人の役に立ちたい人、一緒に活動しませんか？特別なスキルは不要です。「ありがとう」がやりがいに繋がります。命を繋ぐお手伝いを。, 一人の行動が、誰かの命を救う。, 各キャンパスでの献血実施期間に合わせて活動 / 4月:新歓説明会＆活動紹介 5月:献血基礎知識勉強会 6月:学内献血PR活動 7月:夏休み献血キャンペーン協力 10月:秋の献血呼びかけ活動 11月:理大祭(献血啓発ブース) 12月:献血協力者への感謝メッセージ作成 2月:SNSでの献血情報発信強化 3月:年度活動報告＆反省会
1081, 2081, 数学研究会「Infinity」, 野田, 文化系, 現代数学の輪読会、数学パズル・ゲーム、未解決問題への挑戦(？)、数学に関するLT会。, 週1回 勉強会(水曜夜) + 不定期イベント, 講義棟 K505、オンライン, 25名（男子20名、女子5名）, 500円/年, 数学が好きなら誰でも！難しい定理から面白いパズルまで。知的好奇心を満たしませんか？共に数学の美しさと深淵を探求しましょう！, 数式の海へ、思考の旅へ。, 4月:新歓・数学パズル大会 5月:輪読テーマ決め＆開始 7月:前期LT発表会 8月:夏合宿(数学集中セミナー) 10月:数学オリンピック問題挑戦会 11月:理大祭(数学クイズ、展示) 12月:年末数学ゲーム大会 2月:他大学数学サークル交流会 3月:年間活動報告
1082, 2082, 物理実験サークル「Eureka!」, 野田, 文化系, 演示実験の企画・実施、簡単な物理実験（力学、電磁気、波動など）、科学教室でのボランティア。, 月2回 実験/企画会議 + イベント出演随時, 物理実験室(許可時)、講義棟、地域の科学館・公民館, 30名（男子22名、女子8名）, 2000円/年 (実験材料費), 物理は実験が面白い！教科書だけじゃ分からない現象を、自分の手で確かめてみませんか？子供向けの科学教室で教える楽しさも！初心者歓迎！, 実験で解き明かす、世界の法則！, 4月:新歓・演示実験ショー＆体験 5月:力学実験シリーズ開始 6月:科学教室向け実験ネタ開発 7月:前期実験成果発表会 8月:夏休み子供向け科学教室ボランティア 10月:電磁気実験シリーズ 11月:理大祭(実験デモンストレーション) 12月:光・波動実験 2月:オリジナル実験装置開発(有志) 3月:年間活動報告＆演示会
1083, 2083, 化学反応を楽しむ会「Chem Reactor」, 野田, 文化系, 色が変わる反応、発光反応、面白い化学反応の実験・観察。化学マジックショーの練習・披露。, 月2回 実験会(土曜午後), 化学実験室(許可時)、講義棟, 28名（男子19名、女子9名）, 3000円/年 (薬品・器具代), 化学反応の不思議、美しさに触れたい人！見て楽しい実験を中心に活動。安全第一で、驚きと感動を共有しましょう！文系・他学科も歓迎！, ビーカーの中に、驚きと感動を！, 4月:新歓・ケミカルマジックショー 5月:色の変わる化学反応特集 6月:化学発光実験 7月:前期実験発表会＆映え写真コンテスト 8月:夏休みスペシャル実験(花火の色など) 10月:泡・ゲルを作る化学反応 11月:理大祭(化学マジックショー、体験コーナー) 12月:結晶作りコンテスト 2月:食品に関する化学実験 3月:安全講習会＆新年度準備
1084, 2084, 生物観察・飼育サークル「Bio Labo」, 野田, 文化系, 理窓公園や近隣での動植物観察、昆虫採集、微生物観察。部室での小動物・魚類・昆虫等の飼育管理。, 週1回 飼育当番 + 月1-2回 観察会(週末), 理窓公園、江戸川、部室棟(飼育室)、生物実験室(許可時), 26名（男子16名、女子10名）, 2500円/年 (飼育費、観察用具代), 生き物が好きなら誰でも！身近な自然観察から、部室での飼育まで。命の不思議、多様性に触れる活動です。飼育当番できる方歓迎！, 生き物たちの世界を、のぞいてみよう！, 4月:新歓・理窓公園いきもの観察会 5月:春の昆虫採集＆標本作り 6月:微生物(プランクトン)観察会 7月:部室飼育生物紹介＆お世話体験 8月:夏休み自由研究(観察・飼育) 9月:秋の鳴く虫観察会 10月:キノコ観察会 11月:理大祭(飼育生物展示、観察記録発表) 12月:冬越し生物の観察 2月:飼育環境整備 3月:春の訪れ観察会
1085, 2085, ロボット製作チーム「Mecha Creators」, 野田, 文化系, 各種ロボットコンテスト(NHK学生ロボコン、マイクロマウス等)への出場を目指したロボット設計・製作・プログラミング。, 週2-3回 作業日 + 大会前は集中製作, 部室棟 W108 (作業スペース)、機械工作室、講義棟, 24名（男子22名、女子2名）, 8000円/年 + 大会遠征費別途, ロボット作りたい人、動かしたい人、集まれ！機械設計、電子回路、プログラミング、制御…幅広い技術が学べます。仲間と協力して目標達成を目指そう！, 技術とアイデアで、ロボットに命を吹き込む！, 4月:新歓・ロボットデモ＆製作体験 5月:ロボコンテーマ発表・チーム編成 6月- :機体設計・製作、プログラミング 8月:夏合宿(集中開発) 9月- :テスト走行、調整 11月:理大祭(ロボット展示、デモ) 12月- :各種ロボコン予選・本戦出場(日程による) 3月:活動報告会、次期構想
1086, 2086, AI・機械学習勉強会「Deep Learners」, 野田, 文化系, Pythonを使った機械学習・深層学習の基礎学習、論文輪読、Kaggle等のコンペ参加(有志)、実装練習。, 週1回 勉強会(木曜夜) + もくもく会(不定期), 講義棟 K506、オンライン, 35名（男子30名、女子5名）, 1000円/年, AIに興味がある人、Python触ったことある人(無くてもOK)、一緒に学びませんか？基礎から応用まで、最新技術をキャッチアップ！実装力を高めよう！, データから未来を予測する力を。, 4月:新歓・AI/機械学習入門紹介 5月:Python & NumPy/Pandas基礎講座 6月:機械学習(教師あり学習)勉強会開始 7月:Kaggle体験会 8月:夏休み集中実装チャレンジ 10月:深層学習(CNN/RNN)勉強会 11月:理大祭(AIデモ、研究紹介) 12月:論文輪読会開始 2月:強化学習入門 3月:成果発表LT会
1087, 2087, 建築デザイン研究会「Archi Sketch」, 野田, 文化系, 建築デザインの基礎学習、有名建築の見学、設計課題への取り組み(個人/グループ)、模型製作。, 週1回 活動日(水曜放課後) + 見学会(月1程度), 製図室、講義棟、建築学科関連施設、建築見学先, 28名（男子17名、女子11名）, 2000円/年 + 模型材料費・見学交通費実費, 建築に興味がある人、デザインが好きな人！学科問わず歓迎。手を動かして考える楽しさ、空間を創造する面白さを体験！一緒に建築の世界を探求しよう。, 空間をデザインし、未来をカタチに。, 4月:新歓・作品紹介＆製図体験 5月:建築デザイン基礎レクチャー 6月:有名建築見学ツアー①(都内) 7月:前期ミニ設計課題発表会 8月:夏休み集中模型製作 9月:建築展見学 10月:有名建築見学ツアー②(近郊) 11月:理大祭(模型・設計課題展示) 12月:グループ設計ワークショップ 2月:ポートフォリオ作成相談会 3月:年間活動報告展
1088, 2088, 航空宇宙工学同好会「Astro Wings」, 野田, 文化系, 航空機・ロケットの仕組み勉強会、モデルロケット製作・打上、飛行機シミュレータ体験、関連施設見学。, 月2回 勉強会/製作会 + 不定期イベント, 講義棟、グラウンド(打上時)、航空宇宙関連施設, 22名（男子19名、女子3名）, 3000円/年 (モデルロケット材料費等), 空や宇宙に憧れる人、飛行機やロケットが好きな人！一緒に航空宇宙の世界を学びませんか？モデルロケット作りは初心者でも楽しめます！大空への夢を語ろう！, 翼とエンジンに、夢を乗せて。, 4月:新歓・活動紹介＆紙飛行機大会 5月:航空力学入門勉強会 6月:モデルロケット製作ワークショップ① 7月:モデルロケット打上会① 8月:航空宇宙関連施設見学(JAXA等) 9月:ロケットエンジン勉強会 10月:モデルロケット製作ワークショップ② 11月:理大祭(モデルロケット展示、シミュレータ体験) 12月:モデルロケット打上会② 2月:飛行機設計に関する勉強会 3月:年間活動報告
1089, 2089, データサイエンス・クラブ「Data Miners」, 野田, 文化系, データ分析の基礎学習(統計学、Python/R)、データ可視化、オープンデータ活用プロジェクト、分析コンペ参加。, 週1回 勉強会/作業会(火曜夜), 講義棟 K507、オンライン, 30名（男子24名、女子6名）, 1000円/年, データに興味がある人、分析力を身につけたい人！文系理系問わず歓迎。統計の基礎から実践的な分析手法まで。データを読み解き、価値を見出すスキルを磨こう！, データの中に隠された宝を探せ！, 4月:新歓・データサイエンスとは？紹介 5月:統計学基礎復習会 6月:Python/Rによるデータ分析入門 7月:データ可視化ワークショップ 8月:オープンデータを使ったミニプロジェクト開始 10月:機械学習を用いた分析手法紹介 11月:理大祭(分析プロジェクト展示) 12月:分析コンペ情報交換会 2月:プロジェクト成果発表会 3月:データ倫理に関する勉強会
1090, 2090, サイバーセキュリティ勉強会「SecuriTUS」, 野田, 文化系, 情報セキュリティの基礎知識学習、CTF(Capture The Flag)への参加・練習、Webセキュリティ、暗号技術など。, 週1回 勉強会/CTF練習会(金曜夜), 講義棟 K508、オンライン, 20名（男子18名、女子2名）, 500円/年, サイバーセキュリティに興味がある人、CTFやってみたい人！ハッキング(倫理的な)技術や防御策を学びます。情報化社会で必須の知識を身につけよう。, 守る力、見抜く力。, 4月:新歓・セキュリティ入門＆CTF紹介 5月:ネットワーク基礎、Webセキュリティ基礎 6月:CTF過去問演習開始(picoCTFなど) 7月:暗号技術入門 8月:夏休みCTF集中攻略期間 9月:国内CTF大会参加(有志) 10月:マルウェア解析入門(座学) 11月:理大祭(セキュリティ啓発展示、ミニCTF) 12月:フォレンジック入門(座学) 2月:セキュリティツール勉強会 3月:年間活動報告＆Writeup共有会
1091, 2091, 3Dプリンター・メイカーズ, 野田, 文化系, 3D CAD(Fusion360等)の学習、3Dプリンターを使った造形、オリジナルグッズ製作、機材メンテナンス。, 週1回 活動日(木曜放課後), 部室棟 W109 (3Dプリンター設置), 18名（男子15名、女子3名）, 4000円/年 (フィラメント代、維持費), 3Dプリンター使ってみたい人、ものづくりが好きでデジタル工作に興味ある人！CAD初心者でも大丈夫。アイデアを立体化する楽しさを体験しよう！, 想像を、カタチに。デジタルものづくり。, 4月:新歓・3Dプリンター実演＆体験 5月:3D CAD基礎講習(Fusion360) 6月:オリジナルキーホルダー/スマホスタンド製作 7月:前期作品発表会 8月:夏休み自由造形期間 10月:スキャンtoプリント体験 11月:理大祭(作品展示、3Dプリンター実演) 12月:機構部品の設計・造形チャレンジ 2月:3Dプリンターメンテナンス講習 3月:合同プロジェクト作品発表
1092, 2092, 電気回路設計クラブ「Circuit Board」, 野田, 文化系, アナログ・デジタル回路の基礎学習、基板設計(CAD)、電子工作、マイコン制御との連携。, 週1回 勉強会/実習(水曜夜), 電気系実験室(許可時)、講義棟, 15名（男子全員）, 3000円/年 (部品代、基板製作費補助), 電気回路に興味がある人、電子工作が好きな人！オームの法則からトランジスタ、オペアンプ、マイコン連携まで。回路図を読んで、実際に動くものを作ろう！, 電子の流れを、デザインする。, 4月:新歓・電子工作体験(LEDチカチカ) 5月:アナログ回路基礎(抵抗・コンデンサ・コイル) 6月:トランジスタ回路入門 7月:前期製作物発表会(ブレッドボード) 8月:夏休みマイコン連携工作(Arduino) 10月:デジタル回路基礎(論理ゲート) 11月:理大祭(電子工作展示、デモ) 12月:基板設計CAD入門 2月:オリジナル回路設計・製作 3月:作品発表会＆デバッグ大会
1093, 2093, 建築模型製作サークル「Miniature World」, 野田, 文化系, 建築模型の製作技法学習(スチボ、木材等)、課題・コンペ用模型製作サポート、ジオラマ製作。, 週1回 作業会(金曜放課後), 製図室、建築学科作業スペース, 20名（男子12名、女子8名）, 2500円/年 + 材料費各自, 建築模型作るのが好き！得意になりたい！建築学科生はもちろん、他学科でも歓迎。カッターの使い方から塗装、植栽表現まで。リアルなミニチュア世界を創ろう。, 手のひらの上に、建築を建てる。, 4月:新歓・模型製作デモ＆体験 5月:カッターワーク・スチボ加工基礎 6月:木製模型製作入門 7月:前期作品発表会(課題模型など) 8月:夏休みジオラマ共同制作 10月:塗装・ウェザリング技法講座 11月:理大祭(模型展示、製作実演) 12月:コンペ模型製作相談会 2月:照明組み込み模型チャレンジ 3月:年間優秀作品展
1094, 2094, 自動車整備・カスタム同好会「Garage Life」, 野田, 文化系, 自動車・バイクの構造学習、簡単な整備(オイル交換等)、洗車、カスタムの情報交換、モーターショー見学。, 月1-2回 活動日(週末) + 不定期イベント, 大学駐車場(許可時)、部員のガレージ、カー用品店, 16名（男子15名、女子1名）, 1000円/年 + 各自の整備費・交通費, クルマ・バイクが好きで、自分でいじりたい人！整備初心者歓迎。工具の使い方から教えます。愛車をピカピカにしたり、ちょっとカスタムしたり。情報交換も。, 愛車と向き合う、至福の時間。, 4月:新歓・愛車紹介＆洗車会 5月:エンジンオイル交換講座 6月:タイヤ・ホイール基礎知識勉強会 7月:カー用品店見学ツアー 8月:夏休みDIYカスタム相談会 10月:モーターショー/オートサロン見学(開催時期による) 11月:理大祭(車両展示？) 12月:年末大掃除＆整備納め 2月:電気系カスタム(LED等)入門 3月:ドライブ＆撮影会
1095, 2095, 科学史研究会「Newton's Apple」, 野田, 文化系, 科学技術の発展の歴史を学ぶ。科学者の伝記輪読、科学史上の大発見に関する発表・議論、科学博物館見学。, 月2回 勉強会/発表会(平日夜), 講義棟、オンライン、科学博物館, 14名（男子9名、女子5名）, 500円/年, 科学の歴史に興味がある人！なぜ現代科学はこうなっているのか？過去の発見や考え方を知ることで、科学への理解が深まります。文系理系問わず歓迎。, 科学の巨人たちの肩に乗って。, 4月:新歓・科学史の面白さ紹介 5月:古代～中世の科学技術 6月:科学革命期(コペルニクス、ガリレオ、ニュートン) 7月:18-19世紀の科学(化学・電磁気学) 8月:科学博物館見学ツアー 10月:20世紀の科学(相対論、量子論、生命科学) 11月:理大祭(科学史クイズ、年表展示) 12月:日本の科学技術史 2月:科学と社会の関係 考察 3月:自由テーマ研究発表会
1096, 2096, 科学コミュニケーションサークル「Sci-Connect」, 野田, 文化系, 科学の面白さ・重要性を社会に伝える活動。ブログ・SNSでの情報発信、サイエンスカフェ企画、出前授業補助。, 月2回 ミーティング/企画会議 + 発信・イベント随時, 講義棟、オンライン、地域施設, 19名（男子10名、女子9名）, 500円/年, 科学は好きだけど専門家になるだけじゃない道も？科学と社会を繋ぐことに興味がある人！伝えるスキル(文章、プレゼン)も磨けます。一緒に科学の魅力を広めよう！, 科学をもっと身近に、もっと面白く！, 4月:新歓・活動紹介＆アイデアソン 5月:ブログ記事作成ワークショップ 6月:SNS発信戦略会議 7月:サイエンスカフェ企画①立案 8月:夏休み子供向け科学イベント協力 9月:サイエンスカフェ企画①実施 10月:効果的なプレゼン資料作成講座 11月:理大祭(研究紹介ポスターセッション) 12月:専門家インタビュー企画 2月:動画コンテンツ制作(検討) 3月:年間活動報告＆発信成果共有
1097, 2097, 気象予報士を目指す会, 野田, 文化系, 気象予報士試験合格に向けた勉強会。過去問演習、テキスト輪読、気象に関する情報交換。, 週1回 勉強会(土曜午前), 講義棟 K406、オンライン, 12名（男子8名、女子4名）, テキスト代実費のみ, 気象予報士の資格を取りたい人、一緒に勉強しませんか？独学だと挫けがちな試験勉強も、仲間がいれば頑張れる！合格者も在籍(アドバイスあり)。, 空を読む力を、その手に。, 4月:新歓・試験概要説明＆勉強計画相談 5月:一般知識(大気熱力学・力学)勉強開始 6月:過去問演習① 7月:専門知識(気象現象・予報技術)勉強開始 8月:夏期集中勉強会 / 試験(8月) 10月:実技試験対策(天気図解析) 11月:過去問演習② 12月:苦手分野克服講座 1月:試験直前対策 / 試験(1月) 2月:合格者体験談共有会 3月:次サイクル向け勉強計画
1098, 2098, フランス語学習サークル「Bonjour TUS」, ３キャンパス合同, 文化系, フランス語の会話練習、文法学習、フランス文化(映画、音楽、料理等)紹介、留学生との交流。, 週1回 勉強会/交流会(水曜夜), オンライン中心、各キャンパスラウンジ(不定期), 15名（男子7名、女子8名）, 500円/年, フランス語やフランス文化に興味がある人！初心者歓迎(第二外国語で履修してなくてもOK)。ネイティブの留学生と話す機会も。楽しくフランス語を学びましょう！, Parlez-vous français? 始めよう！, 4月:新歓・フランス紹介＆体験レッスン 5月:アルファベット・基本挨拶練習 6月:フランス映画鑑賞会① 7月:簡単な日常会話練習 8月:フランス料理を楽しむ会(ポットラック) 10月:文法講座(基礎) 11月:フランス音楽紹介 12月:クリスマス文化紹介＆交流会 2月:フランス語での自己紹介練習 3月:フランス旅行計画(妄想)会
1099, 2099, 古典文学研究会「みやび」, 野田, 文化系, 源氏物語、枕草子、万葉集など日本の古典文学作品の輪読、解釈、時代背景の研究。関連史跡訪問も。, 月2回 輪読会(木曜夜), 講義棟和室、オンライン, 13名（男子6名、女子7名）, 500円/年, 古典文学が好き、興味がある人。昔の人の言葉や感性に触れてみませんか？原文を読むのは難しくても大丈夫。解説本なども参考に、皆で読み解きます。, 千年の時を超え、言葉の美に触れる。, 4月:新歓・好きな古典作品紹介 5月:『枕草子』輪読開始 6月:平安時代の文化・風俗勉強会 7月:前期輪読まとめ＆考察会 8月:古典文学ゆかりの地訪問(京都など検討) 10月:『万葉集』から恋の歌を読む 11月:理大祭(研究発表、関連クイズ) 12月:『源氏物語』輪読開始 2月:古典文学における和歌の役割 3月:百人一首鑑賞会
1100, 2100, フィルム写真クラブ「Analog Moment」, 野田, 文化系, フィルムカメラでの撮影、自家現像(モノクロ)、暗室でのプリント作業。フィルムに関する情報交換。, 月1-2回 撮影会 + 月1回 暗室作業日(希望者), 関東近郊、部室棟W204(暗室あり), 17名（男子11名、女子6名）, 6000円/年 (薬品・印画紙代、暗室維持費), フィルムカメラが好き！これから始めたい人！デジカメとは違う味わい、手間をかける楽しさがあります。カメラ貸出相談可。暗室作業も体験できます。, 一枚の写真に、時間を込める。, 4月:新歓・フィルムカメラ紹介＆撮影体験 5月:カメラ基本操作・フィルム装填講座 6月:モノクロ自家現像講習会 7月:前期作品発表会(プリント) 8月:夏合宿(撮影旅行＆集中作業) 10月:中判カメラ体験会 11月:理大祭(フィルム写真展、暗室デモ) 12月:夜景撮影会(長時間露光) 2月:カラーフィルム研究会 3月:自家現像作品展
1101, 2101, 戦略ボードゲーム研究会「Tacticians」, 野田, 文化系, カタン、アグリコラ、ドミニオンなど、思考力が試される戦略系ボードゲームのプレイ・研究。, 週1回 ゲーム会(土曜午後), 講義棟 K604, 28名（男子24名、女子4名）, 1000円/年 (新規ゲーム購入費), 頭を使うゲームが好き！勝ち筋を考えるのが楽しい！そんなあなたに。初心者でもルール説明から丁寧に行います。じっくり考え、勝利を目指しましょう。, 盤上で繰り広げる、知略の戦い。, 4月:新歓・定番戦略ゲーム体験会 5月:『カタン』大会 6月:『アグリコラ』研究会 7月:前期お気に入りゲーム投票＆プレイ 8月:夏休み長時間ゲームマラソン 9月:『ドミニオン』拡張プレイ会 10月:ワーカープレイスメント特集 11月:理大祭(体験卓、ミニ大会) 12月:年末持ち寄り戦略ゲーム会 2月:デッキ構築系ゲーム特集 3月:年間チャンピオン決定リーグ
1102, 2102, お菓子作りサークル「Sweet Labo」, 野田, 文化系, 焼き菓子、ケーキ、チョコレートなど様々なお菓子作りに挑戦。レシピ研究、デコレーション技術向上。, 月1-2回 実習日(週末), 野田市内調理室のある公民館、大学家庭科室(許可時), 38名（男子10名、女子28名）, 毎回1000-2000円程度の材料費実費, お菓子作りが好き！食べるのが好き！男女問わず歓迎。初心者でも基本から教えます。可愛い、美味しいお菓子を一緒に作りましょう！試食タイムが至福♪, 手作りお菓子で、ハッピーを届けよう！, 4月:新歓・簡単カップケーキ作り 5月:クッキー生地作り＆アイシング体験 6月:シュークリームに挑戦 7月:夏向けゼリー＆ムース 8月:デコレーションケーキ集中講座 9月:マカロン作り(難関？) 10月:ハロウィンかぼちゃスイーツ 11月:理大祭(焼き菓子販売) 12月:クリスマスブッシュドノエル作り 2月:バレンタインチョコレート作り 3月:卒業記念アフタヌーンティーセット作り
